bbbp,None,classification,rf,mean-roc_auc_score,train,0.9995834297616293,valid,0.9427406832298137,time_for_running,1.745469093322754
bbbp,None,classification,rf,mean-roc_auc_score,train,0.9996245725012214,valid,0.9430803571428572,test,0.7026688505636381,time_for_running,2.131967306137085
tox21,None,classification,rf,mean-roc_auc_score,train,0.9975514725221383,valid,0.6731052168514823,test,0.6531564770483574,time_for_running,62.22347378730774
bbbp,None,classification,graphconv,mean-roc_auc_score,train,0.9993571446938723,valid,0.9465256211180124,test,0.6868677136525676,time_for_running,18.048855304718018
tox21,None,classification,graphconv,mean-roc_auc_score,train,0.961808659538718,valid,0.7386611973521716,test,0.7018369725494987,time_for_running,45.23301887512207
bbbp,None,classification,tf,mean-roc_auc_score,train,0.9406001697138008,valid,0.952833850931677,test,0.694382888524906,time_for_running,3.513120412826538
tox21,None,classification,tf,mean-roc_auc_score,train,0.7371283697533264,valid,0.6513274319415109,test,0.631678771639372,time_for_running,12.807762861251831
bbbp,None,classification,logreg,mean-roc_auc_score,train,0.9982822906220268,valid,0.9477872670807453,test,0.7007418826476539,time_for_running,2.134810447692871
tox21,None,classification,logreg,mean-roc_auc_score,train,0.9763138026497512,valid,0.6988201430941944,test,0.6619021204154641,time_for_running,97.49259948730469
bbbp,None,classification,dag,mean-roc_auc_score,train,0.9999832857620407,valid,0.920807453416149,test,0.5888573080258214,time_for_running,1677.3066430091858
tox21,None,classification,dag,mean-roc_auc_score,train,0.9863190253695017,valid,0.6675559494589387,test,0.6456483825239909,time_for_running,6576.13047003746
bbbp,None,classification,weave,mean-roc_auc_score,train,0.9804192702306564,valid,0.9613742236024845,test,0.717313806725118,time_for_running,400.4032971858978
qm7,None,regression,tf_regression,mean-pearson_r2_score,train,0.2514847862140505,valid,0.09748262650313887,test,0.09844483056370698,time_for_running,67.19630122184753
qm8,None,regression,tf_regression,mean-pearson_r2_score,train,0.19626406721807865,valid,0.1310967269796838,test,0.12779051112749282,time_for_running,239.43159818649292
qm7,None,regression,krr,mean-pearson_r2_score,train,0.554759765476687,valid,0.09918661128790672,test,0.09673228788786664,time_for_running,4.427302122116089
qm8,None,regression,krr,mean-pearson_r2_score,train,0.540301484715289,valid,0.14617438415158523,test,0.13812067512722276,time_for_running,666.0432896614075
qm7,None,regression,graphconvreg,mean-pearson_r2_score,train,0.8491809278818218,valid,0.07911065928656287,test,0.07186535281497444,time_for_running,384.1588408946991
qm8,None,regression,graphconvreg,mean-pearson_r2_score,train,0.5179307654098173,valid,0.1335030532890112,test,0.14360223594740923,time_for_running,1431.7053468227386
qm7,None,regression,tf_regression,mean-pearson_r2_score,train,0.25029841299491107,valid,0.09999660273832524,test,0.10157332902168373,time_for_running,69.45812797546387
qm8,None,regression,tf_regression,mean-pearson_r2_score,train,0.19323555236426893,valid,0.12723316170349988,test,0.12840878193696265,time_for_running,230.37200736999512
qm7,None,regression,tf_regression,mean-pearson_r2_score,train,0.2501348563280484,valid,0.09849277329138062,test,0.09575007952274404,time_for_running,68.9115629196167
qm7,None,regression,rf_regression,mean-pearson_r2_score,train,0.9418739270338019,valid,0.05398505103059404,test,0.05493373555908725,time_for_running,39.76985955238342
qm8,None,regression,rf_regression,mean-pearson_r2_score,train,0.9356791394275438,valid,0.14807325720871842,test,0.13944567870321117,time_for_running,5834.43861746788
qm7,None,regression,tf_regression_ft,mean-pearson_r2_score,train,0.4258022110866772,valid,0.26255612599105366,test,0.2720341154611591,time_for_running,246.11114525794983
qm8,None,regression,tf_regression_ft,mean-pearson_r2_score,train,0.20161063799161558,valid,0.12989054596848987,test,0.1049998199777976,time_for_running,572.1870813369751
qm7,None,regression,graphconvreg,mean-pearson_r2_score,train,0.8751314360462745,valid,0.09464079264090008,test,0.06669580613273648,time_for_running,476.6611702442169
qm8,None,regression,graphconvreg,mean-pearson_r2_score,train,0.5080661043168033,valid,0.13406355733115333,test,0.1319528947166071,time_for_running,1639.6420731544495
qm7,None,regression,dtnn,mean-pearson_r2_score,train,0.97453957030178,valid,0.10125742360629596,test,0.10095298235140994,time_for_running,1711.6674399375916
qm8,None,regression,dtnn,mean-pearson_r2_score,train,0.5191421887297759,valid,0.08543363474597429,test,0.07216211860780392,time_for_running,4965.824781894684
qm7,None,regression,textcnn_regression,mean-pearson_r2_score,train,0.9285611933294755,valid,0.14054950422514464,test,0.12401216046496383,time_for_running,6212.156912326813
qm8,None,regression,textcnn_regression,mean-pearson_r2_score,train,0.7792201809193389,valid,0.1472663030482484,test,0.12927602714328515,time_for_running,19423.189197540283
bbbp,None,classification,kernelsvm,mean-roc_auc_score,train,0.9951888708889403,valid,0.9641886645962732,test,0.7212640909528856,time_for_running,3.302290678024292
qm7,None,regression,krr_ft,mean-pearson_r2_score,train,0.9999825996865482,valid,0.13934913694123433,test,0.16621499255499222,time_for_running,8.72935676574707
qm8,None,regression,krr_ft,mean-pearson_r2_score,train,0.9999840584348298,valid,0.0560527996124972,test,0.047927280937457045,time_for_running,832.8829112052917
qm7,None,regression,krr_ft,mae_score,train,0.9401148504090461,valid,167.22216085383394,test,166.84662057032978,time_for_running,6.675927400588989
qm7,None,regression,krr_ft,mae_score,train,0.9302169178254794,valid,170.5240757807443,test,170.17168977159037,time_for_running,7.052926063537598
qm7,None,regression,krr_ft,mae_score,train,0.933500652622546,valid,169.57400636924797,test,168.09488212101687,time_for_running,6.950476169586182
